wyscout_team,wyscout_competition,opta_contestant_id,opta_team,opta_country,opta_league,match_method,match_score,rating,rank,review_status,notes
Aldosivi,Argentina. Liga Profesional de Fútbol,daclh04s6dduu6f9yw7fm8w6r,Aldosivi,Argentina,Liga Profesional Argentina,exact_name,100,78.2778593861,458,auto_confirmed,""
Argentinos Juniors,Argentina. Liga Profesional de Fútbol,7tev5pifn8hdy4vlts0coha1b,Argentinos Juniors,Argentina,Liga Profesional Argentina,exact_name,100,85.0205799948,104,auto_confirmed,""
Arsenal,Argentina. Liga Profesional de Fútbol,ancihw39hzlr6vjfgl8jsihe1,Arsenal,Argentina,Prim B Metro,exact_name,100,65.1124592023,2443,auto_confirmed,""
Atlético Tucumán,Argentina. Liga Profesional de Fútbol,6u0o1i04y2mnw2avru97sn970,Atlético Tucumán,Argentina,Liga Profesional Argentina,exact_name,100,81.4799671709,247,auto_confirmed,""
Banfield,Argentina. Liga Profesional de Fútbol,3lbqswe4h5wyrayjt580zmujx,Banfield,Argentina,Liga Profesional Argentina,exact_name,100,79.4717533078,368,auto_confirmed,""
Barracas Central,Argentina. Liga Profesional de Fútbol,8bh6iyg42ta2y8mgkkgd2hy6o,Barracas Central,Argentina,Liga Profesional Argentina,exact_name,100,80.2006264007,323,auto_confirmed,""
Belgrano,Argentina. Liga Profesional de Fútbol,2biw4all5ru5xiorgyqbevwr1,Belgrano,Argentina,Liga Profesional Argentina,exact_name,100,84.023026242,133,auto_confirmed,""
Boca Juniors,Argentina. Liga Profesional de Fútbol,ciqt22ivoc48zj62detdyh1mm,Boca Juniors,Argentina,Liga Profesional Argentina,exact_name,100,87.4126060578,56,auto_confirmed,""
Central Córdoba SdE,Argentina. Liga Profesional de Fútbol,1x5i9dl7uyrh5o2th8ore61e6,Central Córdoba SdE,Argentina,Liga Profesional Argentina,exact_name,100,79.2356052877,390,auto_confirmed,""
Colón,Argentina. Liga Profesional de Fútbol,64a7qygl90q6k3319f29fwduo,Colón,Argentina,Primera Nacional,exact_name,100,76.2004852551,643,auto_confirmed,""
Defensa y Justicia,Argentina. Liga Profesional de Fútbol,1n4ioqcbh1hemy9ezzu6v86n7,Defensa y Justicia,Argentina,Liga Profesional Argentina,exact_name,100,81.9524867893,229,auto_confirmed,""
Deportivo Riestra,Argentina. Liga Profesional de Fútbol,7gcwwr8m5docs6jqrn2stilie,Deportivo Riestra,Argentina,Liga Profesional Argentina,exact_name,100,80.434236247,309,auto_confirmed,""
Estudiantes,Argentina. Liga Profesional de Fútbol,91j32z6ga16tjj140ss2i24mt,Estudiantes,Argentina,Liga Profesional Argentina,exact_name,100,84.4873946206,119,auto_confirmed,""
Estudiantes Río Cuarto,Argentina. Liga Profesional de Fútbol,40t5qm271m6s8i8r6hdlqdzv5,Estudiantes Río Cuarto,Argentina,Liga Profesional Argentina,exact_name,100,77.0843890458,561,auto_confirmed,""
Gimnasia La Plata,Argentina. Liga Profesional de Fútbol,1rio0xlpk4s2ttmchsqjs6eik,Gimnasia La Plata,Argentina,Liga Profesional Argentina,exact_name,100,83.5585703598,148,auto_confirmed,""
Gimnasia Mendoza,Argentina. Liga Profesional de Fútbol,9vph9w7uflam4cks28dfp98h4,Gimnasia Mendoza,Argentina,Liga Profesional Argentina,exact_name,100,82.0573623591,226,auto_confirmed,""
Godoy Cruz,Argentina. Liga Profesional de Fútbol,1we2nqwg18sjn6cevduuapbkf,Godoy Cruz,Argentina,Primera Nacional,exact_name,100,78.7231125416,426,auto_confirmed,""
Huracán,Argentina. Liga Profesional de Fútbol,3rw8ouixzsh3x8dgy8ifev925,Huracán,Argentina,Liga Profesional Argentina,exact_name,100,83.1340767973,169,auto_confirmed,""
Independiente,Argentina. Liga Profesional de Fútbol,8inprqnxjps9ckiamn3cfoo8v,Independiente Rivadavia,Argentina,Liga Profesional Argentina,exact_name,100,85.8556287076,78,auto_confirmed,""
Independiente Rivadavia,Argentina. Liga Profesional de Fútbol,8inprqnxjps9ckiamn3cfoo8v,Independiente Rivadavia,Argentina,Liga Profesional Argentina,exact_name,100,85.8556287076,78,auto_confirmed,""
Instituto,Argentina. Liga Profesional de Fútbol,2zjoq67ogz8lmaoesxkubxhp6,Instituto,Argentina,Liga Profesional Argentina,exact_name,100,84.2172779024,125,auto_confirmed,""
Lanús,Argentina. Liga Profesional de Fútbol,19ij50t7wklqr3w2bye5r7tp4,Lanús,Argentina,Liga Profesional Argentina,exact_name,100,83.3980445468,157,auto_confirmed,""
Newell's Old Boys,Argentina. Liga Profesional de Fútbol,3oj3koph7uf63y1f9zr8r7ylo,Newell's Old Boys,Argentina,Liga Profesional Argentina,exact_name,100,81.2133495742,269,auto_confirmed,""
Patronato,Argentina. Liga Profesional de Fútbol,6dxnbgs53o32c955668uki7cr,Patronato,Argentina,Primera Nacional,exact_name,100,74.6972833976,790,auto_confirmed,""
Platense,Argentina. Liga Profesional de Fútbol,d08q2rnrt7mss1axbuu595tyu,Platense,Argentina,Liga Profesional Argentina,exact_name,100,80.8201647253,290,auto_confirmed,""
Racing Club,Argentina. Liga Profesional de Fútbol,39acfbxikh52o6y9opfb0q0nb,Racing Club,Argentina,Liga Profesional Argentina,exact_name,100,82.3524528018,202,auto_confirmed,""
River Plate,Argentina. Liga Profesional de Fútbol,115foion8jwrvp2e7xif675kx,River Plate,Argentina,Liga Profesional Argentina,exact_name,100,85.285738095,94,auto_confirmed,""
Rosario Central,Argentina. Liga Profesional de Fútbol,e8ma1lonj51sqmwy00mwnw1ke,Rosario Central,Argentina,Liga Profesional Argentina,exact_name,100,85.1851761937,97,auto_confirmed,""
San Lorenzo,Argentina. Liga Profesional de Fútbol,2sciofe2reang4qdncm1bihgr,San Lorenzo,Argentina,Liga Profesional Argentina,exact_name,100,81.2206688873,267,auto_confirmed,""
San Martín San Juan,Argentina. Liga Profesional de Fútbol,c4f6hp1oyal1ispkv638ipumk,San Martín San Juan,Argentina,Primera Nacional,exact_name,100,78.093242353,475,auto_confirmed,""
Sarmiento,Argentina. Liga Profesional de Fútbol,1tsjuhn8qeikaj837w2ybx77n,Sarmiento,Argentina,Liga Profesional Argentina,exact_name,100,81.0700956214,277,auto_confirmed,""
Talleres Córdoba,Argentina. Liga Profesional de Fútbol,ajeh0pq7dtphe0btz4wc4xb0g,Talleres de Córdoba,Argentina,Liga Profesional Argentina,fuzzy_country,91.43,80.6001897446,302,needs_review,""
Tigre,Argentina. Liga Profesional de Fútbol,cs3122cdx3g2nviltzfilmz5c,Tigre,Argentina,Liga Profesional Argentina,exact_name,100,82.3026348734,205,auto_confirmed,""
Unión Santa Fe,Argentina. Liga Profesional de Fútbol,"","","","",unmapped,,,,unmapped,""
Vélez Sarsfield,Argentina. Liga Profesional de Fútbol,a3kgi895b7b3ecfzmoyxbw2pl,Vélez Sarsfield,Argentina,Liga Profesional Argentina,exact_name,100,84.6210497354,117,auto_confirmed,""
Adelaide United,Australia. A-League,6lezh5aazy0xca1800e5dqxwl,Adelaide United,Australia,A-League Men,exact_name,100,71.3042655555,1238,auto_confirmed,""
Auckland FC,Australia. A-League,1csft77zeexrhddgjoxuht7v8,Auckland,New Zealand,A-League Men,exact_name,100,73.9636790599,891,auto_confirmed,""
Brisbane Roar,Australia. A-League,v046no35g7ebk8lytdjmfb43,Brisbane Roar,Australia,A-League Men,exact_name,100,67.2046640133,1947,auto_confirmed,""
Central Coast Mariners,Australia. A-League,c4ygb6mnh53kpl2mpxe52l8jw,Central Coast Mariners,Australia,A-League Men,exact_name,100,68.1193767723,1755,auto_confirmed,""
Macarthur,Australia. A-League,7jv344gvcvgqg7oeuc9u554dm,Macarthur,Australia,A-League Men,exact_name,100,69.3939362267,1513,auto_confirmed,""
Melbourne City,Australia. A-League,c33jm806py6adse5wv9wx6ch1,Melbourne City,Australia,A-League Men,exact_name,100,73.181351749,990,auto_confirmed,""
Melbourne Victory,Australia. A-League,9xmhnv6im8h7c9e17oqvcx8gl,Melbourne Victory,Australia,A-League Men,exact_name,100,72.9340388564,1027,auto_confirmed,""
Newcastle Jets,Australia. A-League,chu9blh367xs3yumct5tqto2q,Newcastle Jets,Australia,A-League Men,exact_name,100,72.3168548646,1093,auto_confirmed,""
Perth Glory,Australia. A-League,cuj4qahgk4idsme4dg8clk6gw,Perth Glory,Australia,A-League Men,exact_name,100,67.99489152,1778,auto_confirmed,""
Sydney,Australia. A-League,38ui5tfi8anjuh533emny2tz1,Sydney,Australia,A-League Men,exact_name,100,72.5806846316,1061,auto_confirmed,""
Wellington Phoenix,Australia. A-League,6j4xzc2g1eeafo6v1f38d4x22,Wellington Phoenix,New Zealand,A-League Men,exact_name,100,68.9113401397,1600,auto_confirmed,""
