wyscout_team,wyscout_competition
Unión Santa Fe,Argentina. Liga Profesional de Fútbol
Bregenz,Austria. 2. Liga
WSPG Wels,Austria. 2. Liga
WSG Swarovski Tirol,Austria. Bundesliga
Araz Saatlı,Azerbaijan. Birinci Dasta
Asta Mingachevir,Azerbaijan. Birinci Dasta
Cabrayil,Azerbaijan. Birinci Dasta
Energetik,Azerbaijan. Birinci Dasta
Ganjabasar,Azerbaijan. Birinci Dasta
Qabala,Azerbaijan. Birinci Dasta
Qarabag Khankendi,Azerbaijan. Birinci Dasta
Qaradag Lokbatan,Azerbaijan. Birinci Dasta
Sabail,Azerbaijan. Birinci Dasta
Shafa Baku,Azerbaijan. Birinci Dasta
Shamakhi FK,Azerbaijan. Birinci Dasta
İrəvan,Azerbaijan. Birinci Dasta
Qabala,Azerbaijan. Premyer Liqa
Sabail,Azerbaijan. Premyer Liqa
Shafa Baku,Azerbaijan. Premyer Liqa
Shamakhi FK,Azerbaijan. Premyer Liqa
Turan-T,Azerbaijan. Premyer Liqa
Beerschot VA,Belgium. Challenger Pro League
Deinze,Belgium. Challenger Pro League
KSC Lokeren-Temse,Belgium. Challenger Pro League
Lierse Kempenzonen,Belgium. Challenger Pro League
Lokeren-Temse,Belgium. Challenger Pro League
Oostende,Belgium. Challenger Pro League
RWD Molenbeek,Belgium. Challenger Pro League
Beerschot VA,Belgium. Pro League
Oostende,Belgium. Pro League
RWD Molenbeek,Belgium. Pro League
Atlético Palmaflor,Bolivia. LFPB
Gran Mamoré,Bolivia. LFPB
Royal Pari,Bolivia. LFPB
Vaca Díez,Bolivia. LFPB
Zvijezda '09 Brgule,Bosnia and Herzegovina. Premijer Liga
Ypiranga Erechim,Brazil. Serie C
Etar,Bulgaria. First League
OFK Pirin,Bulgaria. First League
Edmonton,Canada. Canadian Premier League
York United FC,Canada. Canadian Premier League
Barnechea,Chile. Primera B
Fernández Vial,Chile. Primera B
Beijing BSU,China PR. China League One
Dalian Young Boy,China PR. China League One
