competition_name,competition_country,team,tm_club_id,tm_club_name,method,score,tm_scraped_players,scrape_status
Argentina. Liga Profesional de Fútbol,Argentina,Aldosivi,12301,Aldosivi,dict,100,30,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Argentinos Juniors,1030,Argentinos Jrs.,dict,100,33,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Atlético Tucumán,13,Atlético,dict,100,25,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Banfield,830,Banfield,dict,100,30,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Barracas Central,25184,Barracas C.,dict,100,34,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Belgrano,2417,Belgrano,dict,100,25,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Boca Juniors,189,Boca Juniors,dict,100,32,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Central Córdoba SdE,31284,Central Córdoba,dict,100,29,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Defensa y Justicia,2402,Defensa,dict,100,29,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Deportivo Riestra,,,dict_unmatched,0,0,dict_unmatched
Argentina. Liga Profesional de Fútbol,Argentina,Estudiantes,14555,Estudiantes,dict,100,25,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Gimnasia La Plata,1106,Gimnasia,dict,100,31,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Godoy Cruz,12574,Godoy Cruz,dict,100,33,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Huracán,2063,Huracán,dict,100,27,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Independiente,1234,Independiente,dict,100,24,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Independiente Rivadavia,1234,Independiente,dict,100,24,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Instituto,28181,Instituto II,dict,100,29,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Lanús,333,Lanús,dict,100,27,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Newell's Old Boys,1286,Newell's,dict,100,32,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Platense,928,Platense,dict,100,36,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Racing Club,14758,Racing Club,dict,100,24,scraped
Argentina. Liga Profesional de Fútbol,Argentina,River Plate,2419,River Plate,dict,100,29,scraped
Argentina. Liga Profesional de Fútbol,Argentina,Rosario Central,1418,Rosario Central,dict,100,30,scraped
Argentina. Liga Profesional de Fútbol,Argentina,San Lorenzo,1775,San Lorenzo,dict,100,33,scraped
