scrape_enabled,competition_name,competition_country,tm_competition_id,tm_competition_name,tm_country,tm_season_id,wyscout_clubs,mapped_tm_clubs,mapped_tm_club_rate,difficulty,intensity,mapping_status,mapping_methods
False,Australia. A-League,Australia,,,Australia,,12,12,1.0,6.697,6.697,needs_transfermarkt_competition_id,dict
False,Belgium. Pro League,Belgium,,,Belgium,,16,16,1.0,7.803,7.803,needs_transfermarkt_competition_id,dict
False,Bosnia and Herzegovina. Premijer Liga,Bosnia and Herzegovina,,,Bosnia and Herzegovina,,10,10,1.0,6.643,6.643,needs_transfermarkt_competition_id,dict
False,Brazil. Serie A,Brazil,,,Brazil,,20,20,1.0,7.786,7.786,needs_transfermarkt_competition_id,dict
False,Brazil. Serie B,Brazil,,,Brazil,,20,20,1.0,6.996,6.996,needs_transfermarkt_competition_id,dict
False,Chile. Primera B,Chile,,,Chile,,16,16,1.0,6.532,6.532,needs_transfermarkt_competition_id,dict
False,Colombia. Liga BetPlay,Colombia,,,Colombia,,20,20,1.0,7.261,7.261,needs_transfermarkt_competition_id,dict
False,Costa Rica. Primera División,Costa Rica,,,Costa Rica,,10,10,1.0,6.662,6.662,needs_transfermarkt_competition_id,dict
False,Ecuador. Liga Pro,Ecuador,,,Ecuador,,16,16,1.0,7.458,7.458,needs_transfermarkt_competition_id,dict
False,Ecuador. Liga Pro Serie B,Ecuador,,,Ecuador,,12,12,1.0,6.383,6.383,needs_transfermarkt_competition_id,dict
False,England. Championship,England,,,England,,24,24,1.0,7.833,7.833,needs_transfermarkt_competition_id,dict
False,England. Premier League,England,,,England,,20,20,1.0,9.099,9.099,needs_transfermarkt_competition_id,dict
False,Estonia. Esiliiga A,Estonia,,,Estonia,,10,10,1.0,4.79,4.79,needs_transfermarkt_competition_id,dict
False,Europe. UEFA Champions League,Europe,,,Europe,,36,36,1.0,8.923,8.923,needs_transfermarkt_competition_id,dict
False,France. Ligue 1,France,,,France,,18,18,1.0,8.243,8.243,needs_transfermarkt_competition_id,dict
False,France. Ligue 2,France,,,France,,18,18,1.0,7.117,7.117,needs_transfermarkt_competition_id,dict
False,France. National 1,France,,,France,,17,17,1.0,6.522,6.522,needs_transfermarkt_competition_id,dict
False,Georgia. Erovnuli Liga,Georgia,,,Georgia,,10,10,1.0,6.428,6.428,needs_transfermarkt_competition_id,dict
False,Germany. Bundesliga,Germany,,,Germany,,18,18,1.0,8.459,8.459,needs_transfermarkt_competition_id,dict
False,Guatemala. Liga Nacional,Guatemala,,,Guatemala,,12,12,1.0,6.79,6.79,needs_transfermarkt_competition_id,dict
False,Honduras. Liga Nacional,Honduras,,,Honduras,,11,11,1.0,6.889,6.889,needs_transfermarkt_competition_id,dict
False,Italy. Serie A,Italy,,,Italy,,20,20,1.0,8.384,8.384,needs_transfermarkt_competition_id,dict
False,Italy. Serie B,Italy,,,Italy,,20,20,1.0,7.242,7.242,needs_transfermarkt_competition_id,dict
False,Japan. J1 League,Japan,,,Japan,,20,20,1.0,7.456,7.456,needs_transfermarkt_competition_id,dict
False,Mexico. Liga MX,Mexico,,,Mexico,,18,18,1.0,7.188,7.188,needs_transfermarkt_competition_id,dict
False,Moldova. Super Liga,Moldova,,,Moldova,,9,9,1.0,5.987,5.987,needs_transfermarkt_competition_id,dict
False,Netherlands. Eerste Divisie,Netherlands,,,Netherlands,,20,20,1.0,6.646,6.646,needs_transfermarkt_competition_id,dict
False,Netherlands. Eredivisie,Netherlands,,,Netherlands,,18,18,1.0,7.516,7.516,needs_transfermarkt_competition_id,dict
