competition_name,tm_competition_id,tm_competition_name,tm_country,tm_season_id,scrape_enabled,mapping_status,notes
Argentina. Liga Profesional de Fútbol,,,Argentina,,False,needs_transfermarkt_competition_id,
Australia. A-League,,,Australia,,False,needs_transfermarkt_competition_id,
Austria. 2. Liga,,,Austria,,False,needs_transfermarkt_competition_id,
Austria. Bundesliga,,,Austria,,False,needs_transfermarkt_competition_id,
Azerbaijan. Birinci Dasta,,,Azerbaijan,,False,needs_transfermarkt_competition_id,
Azerbaijan. Premyer Liqa,,,Azerbaijan,,False,needs_transfermarkt_competition_id,
Belgium. Challenger Pro League,,,Belgium,,False,needs_transfermarkt_competition_id,
Belgium. Pro League,,,Belgium,,False,needs_transfermarkt_competition_id,
Bolivia. LFPB,,,Bolivia,,False,needs_transfermarkt_competition_id,
Bosnia and Herzegovina. Premijer Liga,,,Bosnia and Herzegovina,,False,needs_transfermarkt_competition_id,
Brazil. Serie A,,,Brazil,,False,needs_transfermarkt_competition_id,
Brazil. Serie B,,,Brazil,,False,needs_transfermarkt_competition_id,
Brazil. Serie C,,,Brazil,,False,needs_transfermarkt_competition_id,
Bulgaria. First League,,,Bulgaria,,False,needs_transfermarkt_competition_id,
Canada. Canadian Premier League,,,Canada,,False,needs_transfermarkt_competition_id,
Chile. Primera B,,,Chile,,False,needs_transfermarkt_competition_id,
Chile. Primera División,,,Chile,,False,needs_transfermarkt_competition_id,
China PR. China League One,,,China PR,,False,needs_transfermarkt_competition_id,
China. CSL,,,China,,False,needs_transfermarkt_competition_id,
Colombia. Liga BetPlay,,,Colombia,,False,needs_transfermarkt_competition_id,
Costa Rica. Primera División,,,Costa Rica,,False,needs_transfermarkt_competition_id,
Croatia. Superleague,,,Croatia,,False,needs_transfermarkt_competition_id,
Cyprus. 1. Division,,,Cyprus,,False,needs_transfermarkt_competition_id,
Czech Republic. Chance Liga,,,Czech Republic,,False,needs_transfermarkt_competition_id,
Denmark. Superliga,,,Denmark,,False,needs_transfermarkt_competition_id,
Ecuador. Liga Pro,,,Ecuador,,False,needs_transfermarkt_competition_id,
Ecuador. Liga Pro Serie B,,,Ecuador,,False,needs_transfermarkt_competition_id,
Egypt. Premier League,,,Egypt,,False,needs_transfermarkt_competition_id,
England. Championship,,,England,,False,needs_transfermarkt_competition_id,
England. League One,,,England,,False,needs_transfermarkt_competition_id,
England. League Two,,,England,,False,needs_transfermarkt_competition_id,
England. Premier League,,,England,,False,needs_transfermarkt_competition_id,
Estonia. Esiliiga A,,,Estonia,,False,needs_transfermarkt_competition_id,
Europe. UEFA Champions League,,,Europe,,False,needs_transfermarkt_competition_id,
Europe. UEFA Europa Conference League,,,Europe,,False,needs_transfermarkt_competition_id,
Europe. UEFA Europa League,,,Europe,,False,needs_transfermarkt_competition_id,
Finland. Veikkausliiga,,,Finland,,False,needs_transfermarkt_competition_id,
France. Ligue 1,,,France,,False,needs_transfermarkt_competition_id,
France. Ligue 2,,,France,,False,needs_transfermarkt_competition_id,
France. National 1,,,France,,False,needs_transfermarkt_competition_id,
Georgia. Erovnuli Liga,,,Georgia,,False,needs_transfermarkt_competition_id,
Germany. 2. Bundesliga,,,Germany,,False,needs_transfermarkt_competition_id,
Germany. 3. Liga,,,Germany,,False,needs_transfermarkt_competition_id,
Germany. Bundesliga,,,Germany,,False,needs_transfermarkt_competition_id,
Greece. Stoiximan Super League,,,Greece,,False,needs_transfermarkt_competition_id,
Greece. Super League 2,,,Greece,,False,needs_transfermarkt_competition_id,
Guatemala. Liga Nacional,,,Guatemala,,False,needs_transfermarkt_competition_id,
Honduras. Liga Nacional,,,Honduras,,False,needs_transfermarkt_competition_id,
Iceland. Besta-deild karla,,,Iceland,,False,needs_transfermarkt_competition_id,
Italy. Serie A,,,Italy,,False,needs_transfermarkt_competition_id,
Italy. Serie B,,,Italy,,False,needs_transfermarkt_competition_id,
Italy. Serie C,,,Italy,,False,needs_transfermarkt_competition_id,
Japan. J1 League,,,Japan,,False,needs_transfermarkt_competition_id,
Japan. J2 League,,,Japan,,False,needs_transfermarkt_competition_id,
Jordan. Pro League,,,Jordan,,False,needs_transfermarkt_competition_id,
Kazakhstan. Premier League,,,Kazakhstan,,False,needs_transfermarkt_competition_id,
Korea Republic. K League 1,,,Korea Republic,,False,needs_transfermarkt_competition_id,
Mexico. Liga MX,,,Mexico,,False,needs_transfermarkt_competition_id,
Moldova. Super Liga,,,Moldova,,False,needs_transfermarkt_competition_id,
Morocco. Botola Pro,,,Morocco,,False,needs_transfermarkt_competition_id,
Netherlands. Derde Divisie,,,Netherlands,,False,needs_transfermarkt_competition_id,
Netherlands. Eerste Divisie,,,Netherlands,,False,needs_transfermarkt_competition_id,
Netherlands. Eredivisie,,,Netherlands,,False,needs_transfermarkt_competition_id,
Nicaragua. Primera Division,,,Nicaragua,,False,needs_transfermarkt_competition_id,
Nigeria. Creative Championship,,,Nigeria,,False,needs_transfermarkt_competition_id,
Northern Ireland. Premiership,,,Northern Ireland,,False,needs_transfermarkt_competition_id,
Norway. Eliteserien,,,Norway,,False,needs_transfermarkt_competition_id,
Panama. LPF,,,Panama,,False,needs_transfermarkt_competition_id,
Paraguay. Division Profesional,,,Paraguay,,False,needs_transfermarkt_competition_id,
Peru. Primera División,,,Peru,,False,needs_transfermarkt_competition_id,
Poland. Ekstraklasa,,,Poland,,False,needs_transfermarkt_competition_id,
Poland. I Liga,,,Poland,,False,needs_transfermarkt_competition_id,
Portugal. Liga 3,,,Portugal,,False,needs_transfermarkt_competition_id,
Portugal. Primeira Liga,,,Portugal,,False,needs_transfermarkt_competition_id,
Portugal. Segunda Liga,,,Portugal,,False,needs_transfermarkt_competition_id,
Republic of Ireland. First Division,,,Republic of Ireland,,False,needs_transfermarkt_competition_id,
Republic of Ireland. Premier Division,,,Republic of Ireland,,False,needs_transfermarkt_competition_id,
Romania. Liga II,,,Romania,,False,needs_transfermarkt_competition_id,
Romania. Superliga,,,Romania,,False,needs_transfermarkt_competition_id,
Russia. Premier League,,,Russia,,False,needs_transfermarkt_competition_id,
Saudi Arabia. Division 1,,,Saudi Arabia,,False,needs_transfermarkt_competition_id,
Saudi Arabia. Pro League,,,Saudi Arabia,,False,needs_transfermarkt_competition_id,
Scotland. Championship,,,Scotland,,False,needs_transfermarkt_competition_id,
Scotland. Premiership,,,Scotland,,False,needs_transfermarkt_competition_id,
Serbia. Prva Liga,,,Serbia,,False,needs_transfermarkt_competition_id,
Serbia. Super Liga,,,Serbia,,False,needs_transfermarkt_competition_id,
Slovakia. 2. liga,,,Slovakia,,False,needs_transfermarkt_competition_id,
